gdp_pwt_cur_o,pop_d,pop_o,hostility_level_o,hostility_level_d,common_language,polity_o,polity_d,sanction_threat,sanction_threat_trade,sanction_imposition,sanction_imposition_trade,gdp_wdi_cur_o,gdp_wdi_cap_cur_o,gdp_wdi_const_o,gdp_wdi_cap_const_o,gdp_wdi_cur_d,gdp_wdi_cap_cur_d,gdp_wdi_const_d,gdp_wdi_cap_const_d
43236.75391,136.6006622,17.572649,0,0,0,-2,6,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,54724081491,413.0802546,73115059421,551.9030477
46261.9375,139.0189972,18.20336914,0,0,0,-2,6,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,60158929188,446.3106592,76580396942,568.1392256
56802.92578,141.3074951,18.86571693,0,0,0,-2,6,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,65108544250,475.2919198,80592852042,588.3272589
35137.19922,7.997786999,16.44092369,0,0,0,-3,8,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,13153016531,1609.882452,32315283606,3955.275802
37199.26172,7.930545807,16.98326683,0,0,0,-3,9,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,14075616789,1757.44378,33533640179,4186.920419
43236.75391,7.866086006,17.572649,0,0,0,-2,9,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,16276456428,2076.830682,35524705564,4532.853869
46261.9375,7.803881168,18.20336914,0,0,0,-2,9,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,20982685981,2698.624248,37356436984,4804.484362
56802.92578,7.743264198,18.86571693,0,0,0,-2,9,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,25957970922,3363.799644,39760457561,5152.414008
35137.19922,0.664614022,16.44092369,0,0,0,-3,-9,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,9062898936,13636.39623,15256303191,22955.23726
37199.26172,0.697548985,16.98326683,0,0,0,-3,-8,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,8976196809,12868.26916,15636329787,22416.23091
43236.75391,0.735148013,17.572649,0,0,0,-2,-7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,9593510638,13049.80322,16159920213,21981.91953
46261.9375,0.778711021,18.20336914,0,0,0,-2,-7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,11074813830,14222.0368,17177420213,22058.87215
56802.92578,0.829847991,18.86571693,0,0,0,-2,-7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,13150159574,15846.54414,18376569149,22144.60688
35137.19922,9.933609009,16.44092369,0,0,0,-3,-7,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,12736856828,1276.288034,28028482646,2808.574949
37199.26172,9.872961044,16.98326683,0,0,0,-3,-7,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,12354820144,1244.373185,29352914216,2956.415305
43236.75391,9.807131767,17.572649,0,0,0,-2,-7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,14594249023,1479.314583,30833847252,3125.40644
46261.9375,9.740054131,18.20336914,0,0,0,-2,-7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,17827791321,1819.766059,33005534487,3369.029306
56802.92578,9.676901817,18.86571693,0,0,0,-2,-7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,23144351852,2378.623286,36784583396,3780.475997
35137.19922,8.339511871,16.44092369,0,0,0,-3,9,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,8397912509,997.5824599,13481148202,1601.416658
37199.26172,8.496375084,16.98326683,0,0,0,-3,9,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,8141537938,948.8712066,13708143902,1597.642011
43236.75391,8.653345108,17.572649,0,0,0,-2,9,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,7905485216,904.2266273,14048868708,1606.904677
46261.9375,8.810420036,18.20336914,0,0,0,-2,8,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,8082364868,907.5371101,14429781404,1620.263664
56802.92578,8.967741013,18.86571693,0,0,0,-2,8,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,8773451739,967.406992,15031978652,1657.505128
35137.19922,175.2875824,16.44092369,0,0,1,-3,8,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,6.55421E+11,3749.75325,1.53871E+12,8803.152529
37199.26172,177.7506714,16.98326683,0,0,1,-3,8,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,5.59372E+11,3156.798718,1.56009E+12,8804.329488
43236.75391,180.1510162,17.572649,0,0,1,-2,8,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,5.07962E+11,2829.283192,1.60773E+12,8954.837245
46261.9375,182.4821472,18.20336914,0,0,1,-2,8,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,5.5832E+11,3070.910491,1.62607E+12,8943.828483
56802.92578,184.7384644,18.86571693,0,0,1,-2,8,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,6.69317E+11,3637.462389,1.71973E+12,9346.039343
35137.19922,0.573415995,16.44092369,0,0,0,-3,-10,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,424464089,718.1878292,661804111.4,1119.764122
37199.26172,0.589600027,16.98326683,0,0,0,-3,-10,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,461444514.5,764.4366087,717057835.6,1187.889861
43236.75391,0.606399,17.572649,0,0,0,-2,-10,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,520849551.3,845.5102794,795878851.5,1291.97337
46261.9375,0.623434007,18.20336914,0,0,0,-2,-10,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,604041958.4,962.0969045,858142863.1,1366.819938
56802.92578,0.640281975,18.86571693,0,0,0,-2,-10,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,682523857.6,1068.421777,909706454,1424.053058
35137.19922,1.72834003,16.44092369,0,0,0,-3,8,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,5788329609,3522.308678,8563534596,5211.073705
37199.26172,1.754935026,16.98326683,0,0,0,-3,8,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,5489608300,3278.00825,8584992576,5126.354186
43236.75391,1.779953003,17.572649,0,0,0,-2,8,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,5438857107,3190.615453,9106061350,5341.920093
46261.9375,1.804339051,18.20336914,0,0,0,-2,8,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,7511582173,4330.9449,9527298168,5493.144116
56802.92578,1.829329967,18.86571693,0,0,0,-2,8,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,8957467707,5073.53765,9785089873,5542.305427
35137.19922,3.754986048,16.44092369,0,0,0,-3,5,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,914500299.1,251.2068774,1537904869,422.4517808
37199.26172,3.832202911,16.98326683,0,0,0,-3,5,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,931833302.8,250.3570114,1606568308,431.6390484
43236.75391,3.907612085,17.572649,0,0,0,-2,5,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,991387870.1,260.7455273,1664670528,437.8260091
46261.9375,3.981664896,18.20336914,0,0,0,-2,-1,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,1139754799,293.6618517,1574820183,405.7579852
56802.92578,4.055036068,18.86571693,0,0,0,-2,-1,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1270080251,320.7374603,1669228829,421.5357377
35137.19922,30.73577309,16.44092369,0,0,0,-3,10,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,7.42295E+11,24190.24962,1.2072E+12,39340.74816
37199.26172,31.02473259,16.98326683,0,0,0,-3,10,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,7.3638E+11,23738.18072,1.22417E+12,39462.65326
43236.75391,31.32088852,17.572649,0,0,0,-2,10,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,7.57951E+11,24169.28473,1.26606E+12,40371.70591
46261.9375,31.62780571,18.20336914,0,0,0,-2,10,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,8.92382E+11,28200.65808,1.31431E+12,41534.23739
56802.92578,31.94941711,18.86571693,0,0,0,-2,10,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1.0232E+12,32034.30774,1.36575E+12,42759.08132
35137.19922,7.167250156,16.44092369,0,0,1,-3,10,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,2.72055E+11,37868.296,4.8715E+11,67807.98757
37199.26172,7.202684879,16.98326683,0,0,1,-3,10,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,2.78631E+11,38538.9791,4.93542E+11,68264.48377
43236.75391,7.243914127,17.572649,0,0,1,-2,10,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,3.01417E+11,41376.37281,4.94345E+11,67860.20288
46261.9375,7.291893005,18.20336914,0,0,1,-2,10,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,3.52915E+11,48087.54377,4.9454E+11,67385.25091
56802.92578,7.347247124,18.86571693,0,0,1,-2,10,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,3.94164E+11,53340.19698,5.0827E+11,68781.61384
35137.19922,15.26275444,16.44092369,0,0,0,-3,9,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,77860932152,5074.901624,1.44525E+11,9419.98295
37199.26172,15.44496918,16.98326683,0,0,0,-3,9,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,70979923960,4574.594421,1.49298E+11,9622.153629
43236.75391,15.62363529,17.572649,0,0,0,-2,9,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,69736811435,4446.250505,1.53937E+11,9814.656135
46261.9375,15.79954243,18.20336914,0,0,0,-2,9,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,75643459840,4772.56282,1.60235E+11,10109.66805
56802.92578,15.97377777,18.86571693,0,0,0,-2,9,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,99210392858,6194.853107,1.71787E+11,10726.64485
35137.19922,1283.198975,16.44092369,0,0,0,-3,-7,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,1.21135E+12,959.3724836,2.23215E+12,1767.833627
37199.26172,1290.937622,16.98326683,0,0,0,-3,-7,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,1.3394E+12,1053.108243,2.41831E+12,1901.40763
43236.75391,1298.646606,17.572649,0,0,0,-2,-7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,1.47055E+12,1148.50829,2.63911E+12,2061.162284
46261.9375,1306.343872,18.20336914,0,0,0,-2,-7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,1.66029E+12,1288.643252,2.90396E+12,2253.929689
56802.92578,1314.007446,18.86571693,0,0,0,-2,-7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1.95535E+12,1508.668098,3.19759E+12,2467.132843
35137.19922,16.68656158,16.44092369,0,0,0,-3,4,1,1,0,0,9129594819,556.8363181,35998401927,2195.630582,10717022463,651.3059068,22300414202,1355.263698
37199.26172,17.0401516,16.98326683,0,0,0,-3,4,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,11192560827,664.1276663,22327480641,1324.835115
43236.75391,17.36651611,17.572649,0,0,0,-2,0,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,12346919216,716.5302656,21955138166,1274.125205
46261.9375,17.67935562,18.20336914,0,0,0,-2,0,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,15306602560,869.7125993,21656650171,1230.518754
56802.92578,17.99773788,18.86571693,0,0,0,-2,0,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,16554441847,921.2012673,21923410906,1219.96707
35137.19922,15.27423382,16.44092369,0,0,0,-3,-4,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,10083937740,649.9918454,17770523602,1145.454854
37199.26172,15.67192745,16.98326683,0,0,0,-3,-4,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,10371327756,651.1009075,18546755043,1164.345523
43236.75391,16.08488655,17.572649,0,0,0,-2,-4,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,11579343088,707.8875674,19332618830,1181.873653
46261.9375,16.51382256,18.20336914,0,0,0,-2,-4,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,14548845765,865.9581375,20215577280,1203.246219
56802.92578,16.95908165,18.86571693,0,0,0,-2,-4,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,17430933517,1009.94312,21586386665,1250.708844
35137.19922,47.0763855,16.44092369,0,0,0,-3,0,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,19088046306,405.216253,13660045127,289.9863199
37199.26172,48.3943367,16.98326683,0,0,0,-3,0,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,7438189100,153.5910092,13373160544,276.1421088
43236.75391,49.83575439,17.572649,4,1,0,-2,0,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,8728038525,175.0099651,13767369914,276.0559456
46261.9375,51.39003372,18.20336914,0,0,0,-2,1,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,8937567060,173.7961353,14535289345,282.6470668
56802.92578,53.03421783,18.86571693,0,0,0,-2,3,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,10297483481,194.0399624,15514731493,292.3508371
35137.19922,3.225727081,16.44092369,0,0,0,-3,-6,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,3219910550,1029.577037,7627595734,2438.948937
37199.26172,3.315805912,16.98326683,0,0,0,-3,-5,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,2794259783,868.3399509,7917642834,2460.474731
43236.75391,3.407180071,17.572649,0,0,0,-2,-4,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,3019993739,912.2781532,8280418941,2501.344689
46261.9375,3.502518892,18.20336914,0,0,0,-2,-4,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,3495868808,1026.107674,8347760613,2450.235319
56802.92578,3.605438948,18.86571693,0,0,0,-2,-4,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,4648628921,1324.219142,8637981498,2460.635305
35137.19922,40.40395737,16.44092369,0,0,0,-3,7,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,99886577331,2520.480898,1.92515E+11,4857.801152
37199.26172,40.98891068,16.98326683,0,0,0,-3,7,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,98211749596,2439.681789,1.95745E+11,4862.501547
43236.75391,41.57249069,17.572649,0,0,0,-2,7,0,0,0,0,15285594828,872.4944916,42638834055,2433.804393,97963003805,2396.627303,2.00646E+11,4908.730123
46261.9375,42.1521492,18.20336914,0,0,0,-2,7,0,0,0,0,17812705294,982.9608993,43913671239,2423.293995,94641378693,2281.401927,2.08508E+11,5026.242155
56802.92578,42.72416306,18.86571693,0,0,0,-2,7,0,0,0,0,23552052408,1255.564045,48723474948,2597.456995,1.17082E+11,2782.623053,2.19628E+11,5219.792331
35137.19922,0.542357028,16.44092369,0,0,0,-3,-1,0,0,0,0,9129594819,556.8363181,35998401927,2195.630582,350264287.7,645.8186908,702240545.3,1294.793919
37199.26172,0.555887997,16.98326683,0,0,0,-3,0,0,0,0,0,8936063723,527.3335285,37512494192,2213.681162,378180913.4,680.3185414,718623164.8,1292.748116
